# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #001000
  3.270943850541044E+00  2.941535796519205E+19  2.568825576340762E+03  9.799206419343990E+05  1.210648931642646E+04  3.482857756020465E-07  5.393411179505945E+02  1.705623911213991E-01
  3.280388053069572E+00  2.941345658059627E+19  2.563883660224914E+03  9.673919187109391E+05  1.208242294818949E+04  3.492806444054105E-07  5.387821291429914E+02  1.803406767848683E-01
  3.289832255598101E+00  2.940744152895253E+19  2.555590002345770E+03  9.478525076742847E+05  1.204087214001230E+04  3.509798122995379E-07  5.377351583873963E+02  1.903810263184409E-01
  3.299276458126629E+00  2.939446872098143E+19  2.541061290003890E+03  8.980365166933108E+05  1.196713193431911E+04  3.540030719107130E-07  5.358055675223512E+02  2.006763572284369E-01
  3.308720660655157E+00  2.937549366334212E+19  2.518732684306504E+03  8.528346029978378E+05  1.185431424327321E+04  3.587397837542656E-07  5.328679525866612E+02  2.112078598070214E-01
  3.318164863183685E+00  2.935386156945458E+19  2.489305395919802E+03  8.649587556062741E+05  1.170719048757019E+04  3.651431811775796E-07  5.291099813844119E+02  2.219642690577664E-01
  3.327609065712214E+00  2.933075114329341E+19  2.455561206818155E+03  8.822564855545559E+05  1.153941306928636E+04  3.727170382411811E-07  5.248519327553042E+02  2.329457382156255E-01
  3.337053268240742E+00  2.930785083671796E+19  2.420175086476937E+03  8.738243744092223E+05  1.136427419171046E+04  3.809372309621759E-07  5.204234852722575E+02  2.441662534024176E-01
  3.346497470769271E+00  2.928396516196922E+19  2.384658533097484E+03  8.582320434943773E+05  1.118841624023727E+04  3.894909241129714E-07  5.159357198770813E+02  2.556185769189191E-01
  3.355941673297798E+00  2.925787420465724E+19  2.349281200296711E+03  8.439984458580825E+05  1.101265631775006E+04  3.983340267049365E-07  5.113740523546973E+02  2.673037161882625E-01
  3.365385875826326E+00  2.922949533087598E+19  2.313756568905346E+03  8.317343478507501E+05  1.083565491531016E+04  4.075601769455952E-07  5.067069692103564E+02  2.792143969376940E-01
  3.374830078354856E+00  2.919801859074816E+19  2.277578865098619E+03  8.169822813065266E+05  1.065479011999253E+04  4.173346962187112E-07  5.018552600508201E+02  2.913471946624927E-01
  3.384274280883383E+00  2.916312404068997E+19  2.240309877364828E+03  8.034771868668103E+05  1.046796384913847E+04  4.278264941566092E-07  4.967639867067156E+02  3.037016819733426E-01
  3.393718483411911E+00  2.912523228559192E+19  2.201688197885946E+03  7.894323109752040E+05  1.027418376844332E+04  4.391771221611272E-07  4.914225275695349E+02  3.162679755391110E-01
  3.403162685940439E+00  2.908485209423823E+19  2.161560867009137E+03  7.745344370747439E+05  1.007299205613289E+04  4.515172440716366E-07  4.858366765468917E+02  3.290474486041467E-01
