# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #000000
  3.115193554438803E+00  2.934048558452250E+19  7.535148095316825E+03  1.104437710707992E+06  3.542170521728393E+04  3.601970346078573E-07  8.973043606328490E+02  4.443567084614249E-02
  3.124599540060987E+00  2.934718948041896E+19  7.527597108153301E+03  1.099421605386553E+06  3.539429431500890E+04  3.607391448799372E-07  8.972645373173618E+02  4.941657221156767E-02
  3.134005525683170E+00  2.935434406737152E+19  7.518736510069659E+03  1.094304696667763E+06  3.536125099401179E+04  3.613770125770197E-07  8.971735910801787E+02  5.466187304579623E-02
  3.143411511305354E+00  2.936194493525662E+19  7.508435992289398E+03  1.089080424217313E+06  3.532195051403133E+04  3.621209051861337E-07  8.970231866473039E+02  6.017146430186182E-02
  3.152817496927536E+00  2.936998263081090E+19  7.496561509839372E+03  1.083741934341717E+06  3.527574328996881E+04  3.629816399378599E-07  8.968043819146621E+02  6.594517847540689E-02
  3.162223482549719E+00  2.937844191742762E+19  7.482975758784527E+03  1.078282101597394E+06  3.522195619820066E+04  3.639706079586993E-07  8.965076001202226E+02  7.198277076168499E-02
  3.171629468171902E+00  2.938730076267579E+19  7.467539125033385E+03  1.072693615385023E+06  3.515989581292165E+04  3.650997718222560E-07  8.961226133269234E+02  7.828374780988372E-02
  3.181035453794087E+00  2.939653002238450E+19  7.450109511860441E+03  1.066968867469793E+06  3.508884724685228E+04  3.663817532944363E-07  8.956385011598434E+02  8.484769019762801E-02
  3.190441439416268E+00  2.940609261760690E+19  7.430542909088657E+03  1.061099986230291E+06  3.500807592633205E+04  3.678298769953924E-07  8.950436228859169E+02  9.167418625022046E-02
  3.199847425038452E+00  2.941594261605206E+19  7.408694111893079E+03  1.055078878408549E+06  3.491683002776609E+04  3.694582130797793E-07  8.943255931075832E+02  9.876275254093940E-02
  3.209253410660633E+00  2.942602439544728E+19  7.384417304467646E+03  1.048897239357279E+06  3.481434246062140E+04  3.712816406972238E-07  8.934712551669131E+02  1.061128312703369E-01
  3.218659396282818E+00  2.943627179159906E+19  7.357566664911326E+03  1.042546561300370E+06  3.469983303109359E+04  3.733159218196315E-07  8.924666561053111E+02  1.137237888247227E-01
  3.228065381905001E+00  2.944660723292941E+19  7.327996988343481E+03  1.036018139573817E+06  3.457251079065556E+04  3.755777867224643E-07  8.912970235967225E+02  1.215949148873623E-01
  3.237471367527184E+00  2.945694086318209E+19  7.295564326629734E+03  1.029303076854532E+06  3.443157658093319E+04  3.780850324580771E-07  8.899467454097443E+02  1.297254217508161E-01
  3.246877353149368E+00  2.946716965401009E+19  7.260126643732874E+03  1.022392285431896E+06  3.427622579007930E+04  3.808566357925241E-07  8.883993520554568E+02  1.381144435938066E-01
  3.256283338771551E+00  2.947717650667715E+19  7.221544497274204E+03  1.015276488912499E+06  3.410565138812791E+04  3.839128813700514E-07  8.866375039025687E+02  1.467610331562707E-01
  3.265689324393733E+00  2.948682935764317E+19  7.179681699032622E+03  1.007946217974097E+06  3.391904705392724E+04  3.872755106999975E-07  8.846429814968338E+02  1.556641662691763E-01
  3.275095310015917E+00  2.949598027366026E+19  7.134406007963642E+03  1.000391807023989E+06  3.371561064831475E+04  3.909678900145989E-07  8.823966822808170E+02  1.648227408273801E-01
  3.284501295638099E+00  2.950446453368870E+19  7.085589915055241E+03  9.926033980520997E+05  3.349454832984539E+04  3.950151944313807E-07  8.798786281403250E+02  1.742355606867303E-01
  3.293907281260283E+00  2.951209973754168E+19  7.033111365977615E+03  9.845709346080562E+05  3.325507864890127E+04  3.994446236388832E-07  8.770679776395591E+02  1.839013363170898E-01
